word,sentence,word_mean
cover,"Hey, Chef, put the cover on that.","to put or spread something over something, or to lie on the surface of something"
during,It was during the war.,from the beginning to the end of a particular period
buddy,I don't think Buddy Holly's much of a waiter.,a friend
anywhere,You're not going anywhere.,"in, to, or at any place"
bag,Two suits for dry-clean and a bag of whatnot.,"a soft container made out of paper or thin plastic , and open at the top , used to hold foods and other goods"
forever,They can't ignore me forever.,for all time
lead,"Lead us not into temptation, but deliver us from evil.","to control a group of people , a country , or a situation"
gold,"Red Leader, this is Gold Leader.","a chemical element that is a valuable , shiny , yellow metal used to make coins and jewellery"
imagine,I imagine it appealed to his meticulous nature.,to form or have a mental picture or idea of something
spend,Don't spend it all in one place.,to give money as a payment for something
across,I hope I can make it across the border.,"from one side to the other of something with clear limits , such as an area of land , a road , or a river"
instead,He wrote two letters a week instead of one.,in place of someone or something else
middle,In the middle of the night?,"the central point , position , or part"
talked,You talked me into it.,past simple and past participle of talk
bank,"We're not a bank, Jerry.","an organization where people and businesses can invest or borrow money , change it to foreign money , etc., or a building where these services are offered"
completely,And now for something completely different.,in every way or as much as possible
marriage,Who said anything about marriage?,"a legally accepted relationship between two people in which they live together, or the official ceremony that results in this"
evidence,"Ladies and gentlemen, you've heard all the evidence.","facts , information , documents , etc. that give reason to believe that something is true"
sitting,Why are you sitting here?,a period when a meal is served in a place like a hotel
bought,Somebody already bought me dinner.,past simple and past participle of buy
interesting,"Marty, that was very interesting music.","Someone or something that is interesting keeps your attention because he, she, or it is unusual , exciting , or has a lot of ideas"
box,"You know, the box and the chain thing.",a square or rectangular container with stiff sides and sometimes a lid
fly,Let me fly far away from here,"When a bird , insect , or aircraft flies, it moves through the air"
david,Starring David Janssen as Dr. Richard Kimble.,a star with six points that represents Judaism
accident,It was just an accident.,something bad that happens that is not expected or intended and that often damages something or injures someone
test,Is that part of the test?,"a way of discovering , by questions or practical activities , what someone knows , or what someone or something can do or is like"
interested,Why are you so interested?,wanting to give your attention to something and discover more about it
surprise,I've got a surprise for you.,an unexpected event
fear,You have nothing to fear.,"an unpleasant emotion or thought that you have when you are frightened or worried by something dangerous , painful , or bad that is happening or might happen"
besides,"Besides, it ain't the giggle it used to be.",in addition to; also
certain,I'm known to locate certain things from time to time.,"having no doubt or knowing exactly that something is true , or known to be true , correct , exact , or effective"
relax,Close your eyes Close your eyes and relax,to ( cause someone to) become less active and more calm and happy
smart,Don't get smart with me.,"having a clean , tidy , and stylish appearance"
fish,Most new fish come close to madness the first night.,"an animal that lives in water , is covered with scales , and breathes by taking water in through its mouth , or the flesh of these animals eaten as food"
club,The country club will have his old timecards.,"an organization of people with a common purpose or interest , who meet regularly and take part in shared activities"
mike,This is my brother Mike.,informal for microphone
key,Do you have the key?,"a piece of metal that has been cut into a special shape and is used for opening or closing a lock , starting a car engine , etc"
enjoy,"Until next time, try to enjoy the daylight.",to get pleasure from something
rich,We're gonna be rich.,having a lot of money or valuable possessions
won,When I despair I remember that all through history the way of truth and love has always won.,past simple and past participle of win
hide,Where did you hide it?,"to put something or someone in a place where that thing or person cannot be seen or found , or to put yourself somewhere where you cannot be seen or found"
sun,"In the sun, sun, sun",the star that provides light and heat for the earth and around which the earth moves
mama,Mama always had a way of explaining things so I could understand them.,a mother
personal,Can I ask you a personal question?,relating or belonging to a single or particular person rather than to a group or an organization
situation,The situation is under control.,the set of things that are happening and the conditions that exist at a particular time and place
crime,Freed him to search for a one-armed man he saw leave the scene of the crime.,illegal activities
protect,The names have been changed to protect the innocent.,"to keep someone or something safe from injury , damage , or loss"
entire,With my entire body tonight!,"whole or complete , with nothing missing"
bastard,Poor bastard lay there till this morning.,an unpleasant person
quickly,Now answer as quickly as you can.,at a fast speed
