word,sentence,word_mean
number,How did you get this number?,(a sign or symbol representing ) a unit that forms part of the system of counting and calculating
against,Anything you say can and will be used against you in a court of law.,disagreeing with a plan or activity
close,Most new fish come close to madness the first night.,"to change from being open to not being open , or to cause something to do this"
inside,I have inside me blood of kings,"the part , space , or side of something that is inside"
cut,Will you cut it out?,"to break the surface of something, or to divide or make something smaller , using a sharp tool , especially a knife"
point,You're missing the point.,"an idea , opinion , or piece of information that is said or written"
comes,What goes around comes around.,to move or travel towards the speaker or with the speaker
means,You know what that means?,a method or way of doing something
whatever,Whatever gave you that idea?,it is not important what is; it makes no difference what (is)
makes,What makes you say that?,"to produce something, often using a particular substance or material"
asked,He asked me to marry him.,past simple and past participle of ask
lady,She's one lady who knows how to take care of herself.,a polite or old-fashioned way of referring to or talking to a woman
em,Get 'em out of here!,short form of them
person,What kind of person are you?,"a man, woman, or child"
he'll,He'll be all right.,short form of he will
honey,"Honey, are you all right?","a sweet , sticky , yellow substance made by bees and used as food"
town,From the town of Bedrock,"a place where people live and work , containing many houses , shops , places of work , places of entertainment , etc., and usually larger than a village but smaller than a city"
important,That's the most important thing.,necessary or of great value
supposed,What's that supposed to mean?,to have to; to have a duty or a responsibility to
least,It's the least I can do.,less than anything or anyone else ; the smallest amount or number
shot,Give me your best shot.,past simple and past participle of shoot
making,You're making a big mistake.,the activity or process of producing something
hours,I'll be back in a couple of hours.,the amount of time during the day or week that you work
ha,Ha-ha-ha-ha-ha!,"used to express satisfaction that something bad has happened to someone who deserved it, or to show that you have succeeded in something"
week,Lucille Ball and Desi Arnaz will be back next week at this same time.,"a period of seven days , especially either from Monday to Sunday or from Sunday to Saturday"
yours,Is he a friend of yours?,the one(s) belonging to or connected with the person or group of people being spoken or written to
hmm,"Mm-hmm, mm-hmm, mm-hmm.",something you say when you pause while talking or when you are uncertain
hurry,Why are you in such a hurry?,to move or do things more quickly than normal or to make someone do this
speak,I want to speak to you.,"to say words, to use the voice , or to have a conversation with someone"
nobody,Nobody knows where he is.,not anyone
body,What have you done with his body?,the whole physical structure that forms a person or animal
moment,I'll be back in a moment.,a very short period of time
story,This is the story of the last of the Babylon stations.,"a description , either true or imagined , of a connected series of events"
side,Whose side are you on?,"a flat outer surface of an object , especially one that is not the top , the bottom , the front , or the back"
break,"Give me a break, will you?","to ( cause something to) separate suddenly or violently into two or more pieces , or to ( cause something to) stop working by being damaged"
truth,I'll tell you the truth.,the quality of being true
sister,That little farce you played with my sister.,a girl or woman who has the same parents as another person
high,Don't get high on your own supply.,"( especially of things that are not living ) being a large distance from top to bottom or a long way above the ground , or having the stated distance from top to bottom"
different,Why should she be any different?,not the same
game,It's part of the game.,"an entertaining activity or sport , especially one played by children , or the equipment needed for such an activity"
boys,The boys always go fishing with first-timers.,a group of male friends
fun,Are you making fun of me?,"pleasure , enjoyment , or entertainment"
goes,That's the way it goes.,he/she/it form of go
party,We're going to a party.,"a social event at which a group of people meet to talk , eat , drink , dance , etc., often in order to celebrate a special occasion"
gets,I'll see that she gets it.,"to obtain , buy , or earn something"
husband,I now pronounce you husband and wife.,the man that you are married to
daughter,I want to meet your daughter.,your female child
couple,I'll be back in a couple of hours.,"two or a few things that are similar or the same, or two or a few people who are in some way connected"
um,"When, um, God makes the impossible possible.",used in writing to represent the sound that people make when they are pausing or deciding what to say next
blood,I have inside me blood of kings,"the red liquid that is sent around the body by the heart , and carries oxygen and important substances to organs and tissue , and removes waste products"
