word,sentence,word_mean
ball,Lucille Ball and Desi Arnaz will be back next week at this same time.,"any object in the shape of a sphere , especially one used as a toy by children or in various sports such as tennis and football"
security,These men promptly escaped... from a maximum-security stockade... to the Los Angeles underground.,"protection of a person , building , organization , or country against threats such as crime or attacks by foreign countries"
fair,You're not being fair.,"treating someone in a way that is right or reasonable , or treating a group of people equally and not allowing personal opinions to influence your judgment"
age,They're the modern stone age family,the period of time someone has been alive or something has existed
present,No time like the present.,"something that you are given, without asking for it, on a special occasion , especially to show friendship , or to say thank you"
horse,"But I sure do love that winning horse of mine, though.",a large animal with four legs that people ride on or use for carrying things or pulling vehicles
boat,"Row, row, row your boat",a small vehicle for travelling on water
building,Frasier has left the building.,"a structure with walls and a roof , such as a house or factory"
meant,I never meant to hurt you.,past simple and past participle of mean
wedding,No Sicilian can refuse any request on his daughter's wedding day.,a marriage ceremony and any celebrations such as a meal or a party that follow it
short,We've got a long way to go and a short time to get there,"small in length , distance , or height"
missing,You don't know what you're missing.,Someone who is missing has disappeared
lying,You're lying to me.,present participle of lie
forgot,"Oh, I forgot to tell you.","to be unable to remember a fact , something that happened , or how to do something"
afternoon,"Good afternoon, ladies and gentlemen.",the period that starts at about twelve o'clock or after the meal in the middle of the day and ends at about six o'clock or when the sun goes down
happening,I can't believe this is happening.,something that has happened
watching,The Other World's not watching for nothing!,present participle of watch
york,What are you doing in New York?,a city in northern England
movie,Johnny Fontane never gets that movie.,a film shown in a cinema or on television and often telling a story
american,How does it feel to be an All-American?,of or relating to the United States of America
thinks,"Very possible, Captain, he thinks the same of you.",to believe something or have an opinion or idea
swear,"Do you swear to tell the truth, the whole truth, and nothing but the truth, so help you God?",to use words that are rude or offensive as a way of emphasizing what you mean or as a way of insulting someone or something
count,You can count on me.,"to say numbers one after the other in order , or to calculate the number of people or things in a group"
attention,"May I have your attention, please?","notice , thought , or interest"
floor,Get down on the floor!,the flat surface of a room on which you walk
paper,"He doesn't exist, except on paper.","thin , flat material made from crushed wood or cloth , used for writing, printing , or drawing on"
peace,May he rest in peace.,"freedom from war and violence , especially when people live and work together happily without disagreements"
lunch,I'll see you at lunch.,a meal that is eaten in the middle of the day
tom,"Well, Tom, you're consigliere.",a tomcat
charge,Are you in charge here?,"to ask an amount of money for something, especially a service or activity"
broke,They broke the door down before I could take requests.,past simple of break
system,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders.",a set of connected things or devices that operate together
miles,"A self-contained world, five miles long, located in neutral territory.",used to say something is much greater or better than something else
song,Song as old as rhyme,a usually short piece of music with words that are sung
join,Why don't you join us?,to connect or fasten things together
blow,Looked like a stiff breeze would blow him over.,"to move and make currents of air , or to be moved or make something move on a current of air"
voice,It's good to hear your voice.,the sounds that are made when people speak or sing
message,"At the tone, leave your name and message.",a short piece of information that you give to a person when you cannot speak to them directly
needed,Now he needed a new project.,necessary or wanted
birthday,Happy birthday to you Happy birthday to you,the day that is exactly a year or number of years after a person was born
sing,When you know the notes to sing,"to make musical sounds with the voice , usually a tune with words"
table,Put it on the table.,"a flat surface , usually supported by four legs , at which people sit to eat or work , or on which ojects are placed"
round,Word 'round the campfire is it was on account of Marsellus Wallace's wife.,in a circular direction or position ; around
force,"As always, should you or any of your IM Force be caught or killed, the Secretary will disavow any knowledge of your actions.","physical , especially violent , strength or power"
dangerous,It can be a dangerous place.,"A dangerous person , animal , thing, or activity could harm you"
paid,That's not what I'm being paid for.,past simple and past participle of pay
ran,You just ran through a big pile of dog shit!,past simple of run
simple,It's as simple as that.,easy to understand or do; not difficult
harry,"Harry, what are you doing?","to repeatedly demand something from someone, often causing them to feel worried or angry"
stick,I'm comin' forward with the side stick.,a thin piece of wood or other material
