word,sentence,word_mean
curiosity,"Curiosity killed the cat, you know.",an eager wish to know or learn about something
pursuit,Freed him to run before the relentless pursuit of the police lieutenant obsessed with his capture.,"an activity that you spend time doing, usually when you are not working"
sailing,Thanks for sailing with us.,the sport or activity of using boats with sails
seed,Your seed is the key to a new future.,"a small , round or oval object produced by a plant and from which, when it is planted , a new plant can grow"
sensible,It's the only sensible thing to do.,based on or acting on good judgment and practical ideas or understanding
methods,You don't like my methods.,a particular way of doing something
saddle,"Come on, saddle your horses.","a seat on a bicycle , motorcycle , etc"
claimed,A Libyan terrorist group had claimed responsibility for the alleged theft.,past simple and past participle of claim
hawk,"Hawk One-Two, Dove One-Three, roger.",a type of large bird that catches small birds and animals for food
elected,The Meucci Association has elected you,past simple and past participle of elect
funds,I'll ask the warden for funds.,money needed or available to spend on something
qualified,He's fully qualified to fly this mission.,"having finished a training course , or having particular skills , etc"
shares,On penalty of total forfeiture of shares.,to have or use something at the same time as someone else
husbands,I can't go all my life waiting to catch you between husbands.,the man that you are married to
greet,Be there to greet him.,"to welcome someone with particular words or a particular action , or to react to something in the stated way"
platform,Prepare to disengage from platform.,a flat raised area or structure
overcome,"Charging through the sky, while we overcome mountains!",to defeat or succeed in controlling or dealing with something
objects,"Would you put all your metal objects into this dish, please?","a thing that you can see or touch but that is not usually a living animal , plant , or person"
smashed,He smashed up some of the chopper pretty good.,past simple and past participle of smash
circles,"Marking it with twin circles, I feel a bit more grown-up!","a continuous curved line , the points of which are always the same distance away from a fixed central point , or the area inside such a line"
obliged,I'm very much obliged to you.,to be forced to do something or feel that you must do something
crawling,Suddenly you realize there's a wasp crawling on your arm.,present participle of crawl
rig,Since when does it take three days to rig a cable?,"to arrange dishonestly for the result of something, for example an election , to be changed"
prices,"And my prices, they've gone up.",the amount of money for which something is sold
dried,The desert has dried up more blood than you could think of.,past simple and past participle of dry
corporation,What do they want out of the Tyrell Corporation?,a large company or group of companies that is controlled together as a single organization
courtesy,Through the courtesy of Fred's two feet,"polite behaviour , or a polite action or remark"
writes,Burt just writes the tunes.,"to make marks that represent letters , words, or numbers on a surface , such as paper or a computer screen , using a pen , pencil , or keyboard , or to use this method to record thoughts , facts , or messages"
produced,"Babylon 5 is produced by Babylonian Productions, Inc and distributed by Warner Bros. Domestic TV Distribution.",past simple and past participle of produce
wolves,"Behold, I send you out as sheep amidst the wolves.",plural of wolf
crowded,"In a crowded city, as I bump shoulders, I'm all alone.","If a place is crowded, it is full of people"
bicycle,Of a bicycle built for two,a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet )
den,Den schickt er in die weite Welt,the home of particular types of wild animal
judges,He had all the judges and politicians in his pocket.,"a person who is in charge of a trial in a court and decides how a person who is guilty of a crime should be punished , or who makes decisions on legal matters"
salesman,"Well, he's a salesman, isn't he?",a man whose job is selling things in a shop or directly to customers
generations,"And if it's not the gooks, it's these old fuckin' Jews who've owned the store for 15 fucking generations.",all the people of about the same age within a society or within a particular family
child's,"Lullaby for the dead, in a child's lullaby...",something that is very easy to do
forehead,"When I touch your forehead, open your eyes.","the flat part of the face , above the eyes and below the hair"
stinking,"We didn't find one of them, not one stinking dink body.",having a very unpleasant smell
reminded,"I reminded you about it, but I didn't illustrate how personal the watch was to me.",past simple and past participle of remind
scheme,Lets us know where we rank in the scheme of things.,"an organized plan for doing something, especially something dishonest or illegal that will bring a good result for you"
officials,"However, officials now attribute the discrepancy to a simple clerical error.",relating to a position of responsibility
companion,If you wouldn't have been my companion.,a person you spend a lot of time with often because you are friends or because you are travelling together
needing,I won't be needing it anymore.,present participle of need
wealthy,"He's a wealthy landowner, educated in England, very good family.",rich
reply,This was her wise reply,to answer
institute,"Captioning performed by the national captioning institute, inc.","an organization where people do a particular type of scientific , educational , or social work , or the buildings that it uses"
reserve,That's why he put it on reserve.,to keep something for a particular purpose or time
unto,"Once more unto the breach, dear friends.",to
coal,"More coal for number one, mate.","a hard, black substance that is dug from the earth in pieces , and can be burned to produce heat or power , or a single piece of this"
