word,sentence,word_mean
mortal,"Yes, it's Superman, strange visitor from another planet who came to Earth with powers and abilities far beyond those of mortal men.","(of living things, especially people ) unable to continue living for ever ; having to die"
scandal,"If what you say is true, there will be a great scandal.",(an action or event that causes ) a public feeling of shock and strong moral disapproval
suspicion,I know I've never completely freed myself of the suspicion that there are some extremely odd things about this mission.,a belief or idea that something may be true
fame,Then let us toast to your fame.,"the state of being known or recognized by many people because of your achievements , skills , etc"
gal,"All he needed was a suit and tie and a jiggly hula gal on his desk he'd have been Mr. Dufresne, if you please.",a woman or girl
rely,On that you can rely,"to need a particular thing or the help and support of someone or something in order to continue , to work correctly , or to succeed"
doubts,The governor has grave doubts about it.,"(a feeling of) not being certain about something, especially about how good or true it is"
brass,"Let's get down to brass tacks, gentlemen.",a bright yellow metal made from copper and zinc
ancestors,"Your ancestors knew this when they made laws to govern themselves, and hired policemen to enforce them.",a person related to you who lived a long time ago
rang,Ba-boom-a-rang-rang-rang,past simple of ring
native,He longs for the greenness of his native land.,relating to or describing someone's country or place of birth or someone who was born in a particular country or place
rhythm,Broadway rhythm It's got me,"a strong pattern of sounds , words, or musical notes that is used in music , poetry , and dancing"
dresses,Girls in white dresses With blue satin sashes,"a piece of clothing that covers the top half of the body and hangs down over the legs , usually worn by women and girls"
elsewhere,It seems to me I already got my boys committed elsewhere.,"at, in, from, or to another place or other places ; anywhere or somewhere else"
beaver,Tony Dow... and Jerry Mathers... as the Beaver.,"an animal with smooth fur , sharp teeth , and a large , flat tail . Beavers build dams (= walls of sticks and earth ) across rivers"
heir,"Heir to a railroad fortune, perhaps.","a person who will legally receive money , property , or a title from another person , especially an older member of the same family , when that other person dies"
chased,You're getting chased out of New York by the others.,past simple and past participle of chase
skipper,"Skipper, SS Venture, you are approaching the breakwater at flank speed.","the captain of a ship or boat , a sports team , or an aircraft"
ransom,How much is the ransom?,"a large amount of money that is demanded in exchange for someone who has been taken prisoner , or sometimes for an animal"
passenger,You gonna drive around with a tiger in your passenger seat?,"a person who is travelling in a vehicle but is not driving it, flying it, or working on it"
beds,Have you two slept in beds?,"a large , rectangular piece of furniture , often with four legs , used for sleeping on"
certificate,"Mr. Stevens has a birth certificate driver's license, Social Security.",an official document that states that the information on it is true
cooperation,Thank you for your cooperation.,the act of working together with someone or doing what they ask you
fears,Who among you still fears death?,"an unpleasant emotion or thought that you have when you are frightened or worried by something dangerous , painful , or bad that is happening or might happen"
reservation,You are entering a military reservation and subject to military law.,an arrangement in which something such as a seat on an aircraft or a table at a restaurant is kept for you
formal,It's a formal thank-you note and a great big apology.,public or official
proves,That proves Marion was here.,to show a particular result after a period of time
principle,It's the principle of the thing.,a basic idea or rule that explains or controls how something happens or works
scheduled,He's scheduled for 60 Minutes next.,planned to happen at a particular time
ship's,But the ship's too big with too small a rudder.,the set of official documents that are necessary for a ship to be able to travel
larger,"We need larger prisons, more money.",big in size or amount
dedicated,"The Vito Corleone Foundation helps the poor in every country, gives grants to artists, funds medical research, and is particularly dedicated to the resurrection of Sicily.",believing that something is very important and giving a lot of time and energy to it
phony,An eight-week college for the phony-tough and the crazy-brave.,not sincere or not real
creek,They'd be up a creek if not for me.,"a narrow area of water that flows into the land from the sea , a lake , etc"
gamble,Do you like to gamble?,"to do something that involves risks that might result in loss of money or failure , hoping to get money or achieve success"
continued,Barry's training continued at the camp.,"still happening , existing , or done"
owes,"America owes you a debt of gratitude, son.","to need to pay or give something to someone because they have lent money to you, or in exchange for something they have done for you"
seventh,The horses are approaching the starting gate for the seventh race.,7th written as a word
document,Round up all suspicious characters and search them for stolen document.,"a paper or set of papers with written or printed information , especially of an official type"
flames,They'll see the flames for miles.,"a stream of hot , burning gas from something on fire"
bonus,Let's go over the bonus situation.,an extra amount of money that is given to you as a present or reward for good work as well as the money you were expecting
pencil,Do you have a piece of paper and a pencil?,"a long , thin object , usually made of wood , for writing or drawing , with a sharp black or coloured point at one end"
nurses,It's like a textbook they give to nurses.,"(the title given to) a person whose job is to care for people who are ill or injured , especially in a hospital"
strikes,The chameleon strikes in the dark.,"to refuse to continue working because of an argument with an employer about working conditions , pay levels , or job losses"
day's,It's been a hard day's night,"If something difficult , unpleasant , or strange is all in a day's work for someone, it is a usual part of their job"
stores,"Yeah, no more liquor stores.",a place where you can buy goods
dearest,My dearest mama The very one I want to see,used when writing to someone you love
convention,Denying the men permission to land violates the IAS Convention.,"a large formal meeting of people who do a particular job or have a similar interest , or a large meeting for a political party"
directions,His mind was going in eight different directions at once.,instructions that you give to someone about how to find a particular place
fog,Don't forget the fog lights.,"a weather condition in which very small drops of water come together to form a thick cloud close to the land or sea , making it difficult to see"
