word,sentence,word_mean
sally,"All you wanna do is ride around, Sally","a sudden attack on an enemy , especially when they are surrounding you"
exchange,He's got his own exchange.,the act of giving something to someone and them giving you something else
firm,Someone broke into his law firm and bled him to death.,not soft but not completely hard
authority,You got no authority here.,the moral or legal right or ability to control
bound,It was bound to happen.,certain or extremely likely to happen
hank,"Andy had transformed a storage room smelling of rat turds and turpentine into the best prison library in New England, complete with a fine selection of Hank Williams.","a thick piece , or a bunch (= a number of long pieces held together) of hair , thread , rope , etc"
surface,For beneath the surface lies the future.,the outer or top part or layer of something
plays,The negotiator plays cards until Mike is back safe.,"When you play, especially as a child , you spend time doing an enjoyable and/or entertaining activity"
valley,"Yea, though I walk through the valley of the shadow of death,","an area of low land between hills or mountains , often with a river running through it"
properly,"Our inmates, properly supervised will be put to work outside these walls performing all manner of public service.","correctly , or in a satisfactory way"
jackson,Why do you think Jackson may be assuming another name?,the capital and the largest city of the US state of Mississippi
staring,What are you staring at?,"looking at something for a long time with the eyes wide open , especially when surprised , frightened , or thinking"
counting,We're counting on you.,present participle of count
reward,"And love, life's sweetest reward.","something given in exchange for good behaviour or good work , etc"
marks,"On your marks, get set...","a small area on the surface of something that is damaged , dirty , or different in some way"
eaten,I haven't eaten in three days.,past participle of eat
robbery,Federal banks ain't supposed to stop you in any way during a robbery.,the crime of stealing from somewhere or someone
los,These men promptly escaped... from a maximum-security stockade... to the Los Angeles underground.,a brand name for a type of plastic or rubber mattress that you fill with air and use to lie on or to float on water
rare,It's really rare that I remember my dreams.,not common or frequent ; very unusual
warrant,We have a warrant for your arrest.,to make a particular activity necessary
saint,Patron saint of the place.,"(the title given to) a person who has received an official honour from the Christian , especially the Roman Catholic , Church for having lived in a good and holy way. The names of saints are sometimes used to name places and buildings"
id,They used her thumbprint to assess her ID.,"in psychoanalysis , the deepest part of the unconscious mind that represents the most basic natural human needs and emotions such as hunger , anger , and the wish for pleasure"
holiday,It's a jolly holiday with Mary,"a time when someone does not go to work or school but is free to do what they want , such as travel or relax"
result,And this is the result.,something that happens or exists because of something else
someplace,Now we're getting someplace.,somewhere
separate,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders.",existing or happening independently or in a different physical space
wave,How do you keep a wave upon the sand?,"to raise your hand and move it from side to side as a way of greeting someone, telling someone to do something, or adding emphasis to an expression"
route,"An innocent victim of blind justice, falsely convicted for the murder of his wife, reprieved by fate when a train wreck freed him en route to the death house.",a particular way or direction between places
boom,Ba-boom-a-rang-rang-rang,a deep and loud hollow sound
parking,"So, 9:00, you're strolling through the parking lot.",leaving a vehicle in a particular place for a period of time
climb,She taught me how to climb.,"to go up, or to go towards the top of something"
pen,The pen is mightier than the sword.,"a long , thin object used for writing or drawing with ink"
fruit,"Blessed is the fruit of thy womb, Jesus.",the soft part containing seeds that is produced by a plant . Many types of fruit are sweet and can be eaten
girl's,But diamonds are a girl's best friend,a weak and cowardly (= not brave ) man
library,Probably couldn't get a library card if he tried.,"a building , room , or organization that has a collection of books , documents , music , and sometimes things such as tools or artwork , for people to borrow , usually without payment"
alien,The invaders... alien beings from a dying planet.,relating to creatures from another planet
doll,You sure do look good in them baby doll shoes,a child's toy in the shape of a small person or baby
remembered,The guards on the opposing teams all remembered to bring their W-2s.,past simple and past participle of remember
hire,"If you have a problem, if no one else can help... and if you can find them... maybe you can hire the A-Team.",to pay to use something for a short period
estate,"You got T-bonds, real estate.",a large area of land in the country that is owned by a family or an organization and is often used for growing crops or raising animals
demon,Especially important is the warning to avoid conversations with the demon.,an evil spirit
rude,I didn't mean to be rude.,not polite ; offensive or embarrassing
scream,"I scream, you scream, we all scream for ice cream.","to cry or say something loudly and usually on a high note , especially because of strong emotions such as fear , excitement , or anger"
progress,Progress is his middle name.,"movement to an improved or more developed state , or to a forward position"
prize,Our prize is awaited in Berlin.,"something valuable , such as an amount of money , that is given to someone who succeeds in a competition or game or that is given to someone as a reward for doing very good work"
knocked,"I tell you, son, this thing really came along and knocked my wind out.",past simple and past participle of knock
bust,You're gonna bust Dixie!,"a woman's breasts , or the measurement around a woman's breasts and back"
convince,"Somehow, he must convince a disbelieving world that the nightmare has already begun.",to persuade someone or make someone certain
wounded,We leave no wounded for the Turks.,offended or upset by what someone has said or done
ambulance,The ambulance is on its way.,a special vehicle used to take sick or injured people to hospital
