word,sentence,word_mean
centre,"Headquarters personnel, report to command centre.",the middle point or part
broad,Luca never sleeps over with a broad.,very wide
wee,You look a wee bit shaky.,small ; little
sins,The sins were used in medieval sermons.,"the offence of breaking , or the breaking of, a religious or moral law"
th,"See surplus store, corner People's Drive, 124th Street.","written abbreviation for thyroid hormone : one of two hormones , T3 and T4, that are produced by the thyroid gland and are important for controlling the metabolic rate (= the speed of chemical processes in the body )"
separated,Keep him separated from the rest.,past simple and past participle of separate
scum,"If you'd come in friendship, the scum that ruined your daughter would be suffering this very day.",a layer of unpleasant or unwanted material that has formed on the top of a liquid
divine,You know what divine intervention is?,"connected with a god , or like a god"
tale,Tale as old as time,"a story , especially one that might be invented or difficult to believe"
sales,It's a slush fund where the Pentagon keeps proceeds from illegal arms sales.,"the activity of selling a company's products or services , or the department of a company that organizes and does this"
moral,Horror and moral terror are your friends.,"relating to the standards of good or bad behaviour , fairness , honesty , etc. that each person believes in, rather than to laws"
description,I don't know anyone who fits that description.,something that tells you what something or someone is like
stroke,And then he has a stroke.,"a sudden change in the blood supply to a part of the brain , sometimes causing a loss of the ability to move particular parts of the body"
accounts,"He's the guilty one, the man with the bank accounts.",an official record of all the money a person or company has spent and received
dish,We can't align the dish.,"a container , flatter than a bowl and sometimes with a lid , from which food can be served or which can be used for cooking"
palm,And that explains the abrasion on your palm!,the inside part of your hand from your wrist to the base of your fingers
retired,"From here on in, you can consider my ass retired.","If someone is retired, they have stopped working permanently , usually because of age"
twins,Give my regards to Alison and the twins.,either of two children born to the same mother on the same occasion
doo,Have a yabba-Dabba-Doo time,excrement (= solid waste released from the bowels of a person or animal )
cant,Mortis mais le cant de monsoir.,"statements , especially on religious or moral subjects , that are not sincerely believed by the person making them"
bitter,Making my defeat more bitter with every passing bar.,Someone who is bitter is angry and unhappy because they cannot forget bad things that happened in the past
commercial,Final report of the commercial starship Nostromo.,related to making money by buying and selling things
bottles,Add to that a couple bottles of wine.,"a container for liquids , usually made of glass or plastic , with a narrow neck"
shoulders,"In a crowded city, as I bump shoulders, I'm all alone.",one of the two parts of the body at each side of the neck that join the arms to the rest of the body
cookies,Feel like step on fortune cookies.,"a small , flat , sweet food made from flour and sugar"
depressed,I was depressed when I got up this morning.,unhappy and without hope
bargain,I'll make a bargain with you.,something on sale at a lower price than its true value
studied,"Believe it or not, I studied 19th-century French poetry.","very carefully and intentionally done, made, or considered , rather than in a completely honest or sincere way"
neat,A suicide will be nice and neat.,"tidy , with everything in its place"
stations,This is the story of the last of the Babylon stations.,a building and the surrounding area where buses or trains stop for people to get on or off
dragged,Look what the cat dragged in.,past simple and past participle of drag
protected,"Rebels, wounded or whole, are not protected by the Geneva Code and are treated harshly.",a protected area or animal is affected by laws that prevent it being harmed
statue,I can see the Statue of Liberty already.,"an object made from a hard material , especially stone or metal , to look like a person or animal"
tap,Searching for a way to tap into the hidden strengths that all humans have.,"to hit something or someone gently , and often repeatedly , sometimes making short , sharp noises"
ned,"Ned, I wouldn't worry too much about this contract.",a young person who behaves in a rude and sometimes violent or criminal way
fingerprints,"A broken bourbon bottle, likewise with fingerprints.","the pattern of curved lines on the end of a finger or thumb that is different in every person , or a mark left by this pattern"
pile,You just ran through a big pile of dog shit!,objects positioned one on top of another
poem,It's like something out of a Robert Frost poem.,"a piece of writing in which the words are arranged in separate lines , often ending in rhyme , and are chosen for their sound and for the images and ideas they suggest"
documents,"I wonder if you'd mind signing these documents, sir.","a paper or set of papers with written or printed information , especially of an official type"
shortly,There'll be another one along shortly.,soon
russell,Officers Russell and Burwell report to the duty officer.,a type of small terrier (= a dog bred to chase animals from holes ) with short white hair and brown or black marks
foster,"And the Playmate of the Year, Miss Carrie Foster!","to take care of a child , usually for a limited time , without being the child's legal parent"
alike,They all look alike to me.,similar to each other
dough,"It's the dough, Roper, or we gotta break something.","flour mixed with water and often yeast , fat , or sugar , so that it is ready for baking"
halfway,We're only halfway there.,"in the middle of something, or at a place that is equally far from two other places"
feeding,What are they feeding you?,an occasion when a baby has something to eat or drink
sends,She sends five magic rings to five special young people --,"to cause something to go from one place to another, especially by post or email"
engines,Both engines ahead two-thirds.,a machine that uses the energy from liquid fuel or steam to produce movement
promises,The love boat promises something for everyone.,to tell someone that you will certainly do something
drives,That really drives you insane,"to move or travel on land in a motor vehicle , especially as the person controlling the vehicle's movement"
