word,sentence,word_mean
places,"Same as banks, these places are insured.","an area , town , building , etc"
that'll,That'll be the day.,short form of that will
mate,I will come and be your first mate.,an animal's sexual partner
cup,Would you like a cup of coffee?,"a small , round container , often with a handle , used for drinking tea , coffee , etc., or the drink that it contains"
beauty,That's the beauty of it.,"the quality of being pleasing and attractive , especially to look at"
hall,Thanks for the use of the hall.,"the area just inside the main entrance of a house , apartment , or other building that leads to other rooms and usually to the stairs"
medical,I never saw no medical book.,related to the treatment of illness and injuries
writing,Why is a raven like a writing desk?,a person's style of writing with a pen on paper that can be recognized as their own
apart,The camp started falling apart.,separated by a distance or by time
keeping,Where have you been keeping yourself?,"If something is in your keeping, you are taking care of it"
roger,"Roger Ramjet, he's our man, Hero of our nation.",used in radio communications to mean that a message has been received and understood
heavy,'Transuranic heavy elements may not be used where there is life.,"weighing a lot, and needing effort to move or lift"
sheriff,"Well, if you're the sheriff, you better get these men underground.","in the US, an official whose job is to be in charge of performing the orders of the law courts and making certain that the laws are obeyed within a particular county"
mommy,My mommy always said there were no monsters.,child's word for mother
weapons,Get your weapons and come to my lodge.,"any object used in fighting or war , such as a gun , bomb , knife , etc"
hero,"Roger Ramjet, he's our man, Hero of our nation.",a person who is admired for having done something very brave or having achieved something great
crap,Don't give me that crap.,"a rude word for solid waste , or an occasion when an animal or person produces solid waste"
necessary,"No, that won't be necessary.",needed in order to achieve a particular result
hiding,Where have you been hiding?,a punishment that consists of being beaten repeatedly
lights,What happened to the lights?,"traffic lights (= a set of red , yellow , and green lights that control the movement of vehicles , usually at a point where two or more roads join )"
bobby,"One night, Bobby Vinton sent us champagne.",a police officer
blind,"An innocent victim of blind justice, falsely convicted for the murder of his wife, reprieved by fate when a train wreck freed him en route to the death house.",unable to see
wondering,I was just wondering if anyone knew his name.,present participle of wonder
van,That is Mamie Van Doren.,"a medium-sized road vehicle , used especially for carrying goods , that often has no windows in the sides at the back"
bridge,"You have the Bridge, Number One.","a structure that is built over a river , road , or railway to allow people and vehicles to cross from one side to the other"
camp,The camp started falling apart.,a place where people stay in tents or other temporary structures
rose,Rose has already done that.,past simple of rise
bottle,"A broken bourbon bottle, likewise with fingerprints.","a container for liquids , usually made of glass or plastic , with a narrow neck"
above,"Michael Knight, a young loner... on a crusade to champion the cause of the innocent... the helpless, the powerless... in a world of criminals who operate above the law.",in or to a higher position than something else
acting,You're acting like a child.,the job of performing in films or plays
tape,This tape will self-destruct in five seconds.,"thin plastic in a long , narrow strip with a magnetic covering that allows sounds or sounds and pictures to be recorded and played again, especially one on which sound is recorded"
bullshit,I wasted a whole year of my time with this bullshit.,a rude word for complete nonsense or something that is not true
bird,"Hey, little bird Fly away home","a creature with feathers and wings , usually able to fly"
emergency,"Operator, this is an emergency.","something dangerous or serious , such as an accident , that happens suddenly or unexpectedly and needs fast action in order to avoid harmful results"
consider,We now consider the matter closed.,to spend time thinking about a possibility or making a decision
princess,"Princess, we'll find Han.","an important female member of a royal family , especially a daughter or granddaughter of a king and queen , or the wife of a prince"
losing,I must be losing my mind.,present participle of lose
helped,My father helped him with his career.,past simple and past participle of help
seemed,"No, it seemed excessive, but that doesn't mean it didn't happen.",past simple and past participle of seem
according,Everything's going according to plan.,present participle of accord
rain,The rain in Spain stays mainly in the plain.,drops of water from clouds
beach,Let's go to the beach.,an area of sand or small stones near the sea or another area of water such as a lake
code,Some kind of code these guys used in the can.,"a system of words, letters , or signs used to represent a message in secret form , or a system of numbers , letters , or signals used to represent something in a shorter or more convenient form"
asshole,You are such an asshole.,an unpleasant or stupid person
study,Geology is the study of pressure and time.,"to learn about a subject , especially in an educational course or by reading books"
track,We're on the right track.,"the pair of long metal bars fixed on the ground at an equal distance from each other, along which trains travel"
east,To the East Side Movin' on up,"the direction from which the sun rises in the morning , opposite to the west , or the part of an area or country that is in this direction"
speed,"Go, Speed Racer Go, Speed Racer",how fast something moves
closer,Can you hold it a bit closer?,"in baseball , a pitcher (= a player who throws the ball ) who comes into a game that their team is winning by only a small number of points and tries to put out the opponent's final batters (= players who try to hit the ball and score )"
strength,"Hercules possessed a strength the world had never seen, a strength surpassed only by the power of his heart.",the ability to do things that need a lot of physical or mental effort
