word,sentence,word_mean
motor,Cut the line to the motor!,a device that changes electricity or fuel into movement and makes a machine work
baker,What is Baker paying you?,"a person who makes bread and cakes , or who sells bread and cakes as a job"
lap,Did you sit on his lap?,the top surface of the upper part of the legs of a person who is sitting down
sealed,"Sealed off, brick by brick.",closed
appeal,Does that appeal to you?,"a request to the public for money , information , or help"
treating,How's the wife treating you?,present participle of treat
doctor's,The doctor's on his way.,one of the highest-ranking degrees given by a university
burden,I don't want to be a burden or a nuisance.,a heavy load that you carry
meters,"According to this, it's within five meters.",a device that measures and records the amount of something that is used or present
drawn,And these were drawn from life?,past participle of draw
muscle,Are you trying to muscle me?,one of many tissues in the body that can tighten and relax to produce movement
roses,We're painting the roses red,past simple of rise
slide,It's got both the long right and left slide with a bowl section.,to ( cause to) move easily and without interruption over a surface
mothers,"Our wives, mothers, kids, everybody rode along.",a female parent
shaking,You're shaking like a leaf.,present participle of shake
waters,He leadeth me beside the still waters.,the area of sea near to and belonging to a particular country
tent,Grab a couple of barrels and get up to that big tent.,"a shelter made of canvas or a similar material and supported by poles and ropes , that you can fold up and carry with you"
slaves,They're a tribe of slaves.,a person who is legally owned by someone else and has to work for that person
entering,That's breaking and entering to you.,present participle of enter
explained,"Most of the time, these episodes with kids are never explained.",past simple and past participle of explain
potatoes,Beans and meat and potatoes and bread.,plural of potato
beard,"One day, when I got a long, white beard and two or three marbles rolling around upstairs.",hair that grows on the chin and lower part of a person's face
monsters,"All the while pounding on mutants and monsters,","any imaginary frightening creature , especially one that is large and strange"
unlike,He's unlike anything you've seen.,different from
typical,It is so typical of you to create a problem like this when I finally have a chance to accomplish something!,showing all the characteristics that you would usually expect from a particular group of things
scientist,"Dr. David Banner, physician, scientist.",an expert who studies or works in one of the sciences
reveal,Reveal to me the one who can enter the cave.,to make known or show something that is surprising or that was previously secret
appearance,Your appearance is exactly the way I imagined.,an occasion when someone appears in public
shark,"This shark, swallow you whole.",a large fish that has sharp teeth and a pointed fin on its back
joining,Thank you for joining us.,present participle of join
elephant,When I see an elephant fly,a very large grey mammal that has a trunk (= long nose ) with which it can pick things up
produce,You lured him with produce.,to make something or bring something into existence
session,This court is now in session.,a formal meeting or series of meetings of an organization such as a parliament or a court of law
tribe,My tribe is the Howeitat.,"a group of people , often of related families , who live together, sharing the same language , culture , and history , especially those who do not live in towns or cities"
whip,"whip cracks -  Cut 'em out, ride 'em in","a piece of leather or rope that is fastened to a stick , used for hitting animals or people"
casino,I'm going to learn the casino business.,"a building where games , especially roulette and card games are played for money"
oath,You are under my oath.,"a promise , especially that you will tell the truth in a law court"
bothered,Sorry to have bothered you.,"If you are bothered about something, it is important to you and you are worried about it"
helpful,You've been very helpful.,"willing to help , or useful"
pierre,You could see that Pierre did truly love the mademoiselle,a group of islands in the North Atlantic Ocean that is a territory of France
pump,You can go pump or auto.,"a piece of equipment that is used to cause liquid , air , or gas to move from one place to another"
imagined,"Your wife appears to be stronger than we imagined, Mr. Torrance.",past simple and past participle of imagine
rounds,Every evening I load up the cart and make my rounds.,a work activity that regularly involves going to several different places
gum,Not for shoelaces or a stick of gum.,either of the two areas of firm pink flesh inside the mouth that cover the bones into which the teeth are fixed
previous,I don't know anything about your previous matters.,happening or existing before something or someone else
pages,"In here I'm the guy who can get things for you, sure, but outside all you need is the Yellow Pages.","a side of one of the pieces of paper in a book , newspaper , or magazine , usually with a number printed on it"
who'll,Nobody who'll be missed.,short form of who will
kung,The Japanese fox was a kung fu master.,a Chinese method of fighting that involves using your hands and feet and not using weapons
irish,But Jimmy and I could never be made because we had Irish blood.,"belonging to or relating to Ireland, its people , or its language"
baron,The Baron and the Emperor himself will be forced to deal with us.,a low-ranking male member of the nobility (= group of people from a high social class )
