word,sentence,word_mean
turn,One good turn deserves another.,to ( cause to) move in a circle around a fixed point or line
until,"Until next time, try to enjoy the daylight.",up to (the time that)
hand,Let me give you a hand.,"the part of the body at the end of the arm that is used for holding , moving , touching , and feeling things"
watch,Watch where you're going!,"to look at something for a period of time , especially something that is changing or moving"
both,"Stop it, both of you!",(referring to) two people or things together
sit,Why don't you sit down?,"to ( cause someone to) be in a position in which the lower part of the body is resting on a seat or other type of support , with the upper part of the body vertical"
face,What happened to your face?,"the front of the head , where the eyes , nose , and mouth are"
friends,We're all friends here.,"a person who you know well and who you like a lot, but who is usually not a member of your family"
says,I don't care what anybody says.,"to pronounce words or sounds , to express a thought , opinion , or suggestion , or to state a fact or instruction"
who's,"Well, well, look who's here.",short form of who has
bit,"Marking it with twin circles, I feel a bit more grown-up!",a small piece or amount of something
soon,I'll be back as soon as I can.,in or within a short time ; before long ; quickly
fucking,Are you out of your fucking mind?,"used to emphasize a statement , especially an angry one"
five,"One, two, three, four, five.",the number 5
lost,Have you lost your mind?,not knowing where you are and how to get to a place
school,We went to school together.,a place where children go to be educated
end,It's not the end of the world.,the part of a place or thing that is furthest away from the centre
year,It was the year everything changed.,"a period of twelve months , especially from 1 January to 31 December"
saying,Do you understand what I'm saying?,a well-known wise statement that often has a meaning that is different from the simple meanings of the words it contains
heart,You're breaking my heart.,the organ in your chest that sends the blood around your body
wants,He wants to talk to you.,needs
police,Did you call the police?,"the official organization that is responsible for protecting people and property , making people obey the law , finding out about and solving crime , and catching people who have committed a crime"
forget,And don't you forget it.,"to be unable to remember a fact , something that happened , or how to do something"
actually,I can't believe I'm actually doing this.,in fact or really
bye,I've come to say good-bye.,goodbye
true,You know that's not true.,( especially of facts or statements ) right and not wrong ; correct
case,"But I can't give you this case, 'cause it don't belong to me.",a particular situation or example of something
later,I'll talk to you later.,at a time in the future or after the time you have mentioned
doctor,What did the doctor say?,a person with a medical degree whose job is to treat people who are ill or hurt
young,"Michael Knight, a young loner... on a crusade to champion the cause of the innocent... the helpless, the powerless... in a world of criminals who operate above the law.",having lived or existed for only a short time and not old
anyone,Is there anyone alive out there?,"used in questions and negatives to mean ""a person or people """
also,Also starring... as Sergeant Carter.,in addition
beautiful,So let's make the most of this beautiful day.,very attractive
door,There's someone at the door.,"a flat object that is used to close the entrance of something such as a room or building , or the entrance itself"
late,It's too late for that.,( happening or being) near the end of a period of time
eat,Let's get something to eat.,"to put or take food into the mouth , chew it (= crush it with the teeth ) , and swallow it"
dr,Starring David Janssen as Dr. Richard Kimble.,written abbreviation for Doctor
dear,"Are you all right, dear?",loved or liked very much
damn,None of your damn business.,an expression of anger
under,You're all under arrest.,"in or to a position below or lower than something else , often so that one thing covers the other"
easy,That's easy for you to say.,needing little effort
pay,You'll pay for this!,to give money to someone for something you want to buy or for services provided
each,You two know each other?,"every thing, person , etc. in a group of two or more, considered separately"
afraid,What are you afraid of?,"feeling fear , or feeling worry about the possible results of a particular situation"
four,"One, two, three, four, five.",the number 4
shut,Why don't you shut up?,to ( cause to) close something
second,Can I talk to you for a second?,immediately after the first and before any others
kid,"Here's looking at you, kid.",a child
cause,"I take care of both of them, which ain't easy, 'cause when they met, it was murder.","the reason why something, especially something bad , happens"
having,Are you having a good time?,present participle of have
