word,sentence,word_mean
yellow,Follow the Yellow Brick Road.,a colour like that of a lemon or gold or the sun
thousands,We have thousands of probe droids searching the galaxy.,"numbers between 1,000 and 1,000,000"
discovered,"No, my son's discovered the games room.",past simple and past participle of discover
familiar,It's laying your hands in a familiar way on Marsellus's new wife.,"easy to recognize because of being seen , met , heard , etc. before"
william,"Cheltham, this is William Wallace.","a garden flower from the genus (= group of plants ) Dianthus with groups of red , white , pink , or purple flowers that have a sweet spicy smell"
ruined,You've ruined my life.,destroyed or spoiled
washington,This is Bob Woodward of the Washington Post.,"the capital city of the United States , situated in the northeastern part of the country"
square,Be there or be square.,a flat shape with four sides of equal length and four angles of 90°
female,It was a show about a team of female secret agents called Fox Force Five.,belonging or relating to women or girls
tongue,Let me see your tongue.,"the large , soft piece of flesh in the mouth that you can move , and is used for tasting , speaking , etc"
carrying,What is this stupid thing you're carrying around?,present participle of carry
showing,Why are you showing me this?,the quality of someone's performance in a competition
photo,You come across a full-page nude photo of a girl.,a photograph
wise,Do you think that's wise?,"having or showing the ability to make good judgments , based on a deep understanding and experience of life"
someday,Someday this war's gonna end.,at some time in the future that is not yet known or not stated
mood,You're in a good mood.,the way you feel at a particular time
ate,You mean they ate each other up?,past simple of eat
regret,You'll never regret it.,"a feeling of sadness about something sad or wrong or about a mistake that you have made, and a wish that it could have been different and better"
smith,This is Verne Smith speaking.,"someone who makes things out of metal , especially by heating it and hitting it with a hammer"
engine,The next stop will be the engine room.,a machine that uses the energy from liquid fuel or steam to produce movement
genius,Why would a nice guy like you wanna kill a genius?,"very great and rare natural ability or skill , especially in a particular area such as science or art , or a person who has this"
waited,I've waited a long time for this.,past simple and past participle of wait
members,"Of all the members of your unit, you're the only one left alive.","a person , animal , or thing that is part of a group"
shape,You're in great shape.,the particular physical form or appearance of something
glasses,We want two large glasses of lemonade.,two small pieces of special glass or plastic in a frame worn in front of the eyes to improve sight
tall,Able to leap tall buildings at a single bound.,"of more than average height , or of a particular height"
lover,"I didn't shoot my wife, and I didn't shoot her lover.","the person you are having a sexual relationship with, but are not married to"
butt,I put a special tape on the trigger and the butt.,the part of a finished cigarette that has not been smoked
clark,"Superman, who can change the course of mighty rivers bend steel in his bare hands and who. disguised as Clark Kent...",a national park (= a large area of land protected by the government because of its natural beauty or because it has a special history ) in the US state of Alaska
rights,You understand the rights I've given you?,legal controls over who is allowed to use a book or film
tears,I just can't see how all of the tears were streaming down his face that night.,"to pull or be pulled apart , or to pull pieces off"
rome,Rome wasn't built in a day.,"the capital city of Italy, situated in the central part of the country"
carefully,Listen to me very carefully.,with great attention
planned,We couldn't have planned this better.,past simple and past participle of plan
issue,I want to do an all-hophead issue.,a subject or problem that people are thinking and talking about
reasons,But there are reasons why you must have no part in what is going to happen.,the cause of an event or situation or something that provides an excuse or explanation
laughs,"And I bet you 10,000 he laughs his ass off.",to smile while making sounds with your voice that show you think something is funny or you are happy
legal,It's legal to buy it.,connected with the law
revenge,"This was revenge of a much more brutal, cold-blooded nature.",harm done to someone as a punishment for harm that they have done to someone else
lower,"And lower away evenly, lads.",to move something into a low position
expensive,But this one is a little more expensive.,costing a lot of money
rat,Old man's crazy as a rat in a tin shithouse.,"a medium-sized rodent , similar to but larger than a mouse , that has a long tail . Wild rats are often considered harmful to humans"
courage,"The courage and power to break through rises up from within,",the ability to control your fear in a dangerous or difficult situation
nah,"Nah, you can still see your face.",slang for no
mercy,May God have mercy on his soul.,"kindness that makes you forgive someone, usually someone that you have authority over"
deliver,"Lead us not into temptation, but deliver us from evil.","to take goods , letters , parcels , etc. to people's houses or places of work"
license,"May I see your driver's license, please?",US spelling of licence
mentioned,But I bet it isn't mentioned in the Times.,past simple and past participle of mention
buying,"I'm the kind of man likes to know who's buying their drinks, Lloyd.",to get something by paying money for it
birds,I have to remind myself that some birds aren't meant to be caged.,"a creature with feathers and wings , usually able to fly"
