word,class,level,sentence,word_mean
drop,noun,b1,"Night drops as always, sir. | Drop it!",liquid medicine given in very small amounts : | to fall or to allow something to fall :
drug,noun,a2,Drugs? | He's a drug dealer.,any natural or artificially made chemical that is used as a medicine :
drum,noun,b1,Drums. | Beat the drum.,"a musical instrument , especially one made from a skin stretched over the end of a hollow tube or bowl , played by hitting with the hand or a stick :"
drunk,adjective,b1,You're drunk.,past participle of drink
dry,adjective,a2,Dry.,"used to describe something that has no water or other liquid in, on, or around it:"
due,adjective,b1,When are you due?,"expected to happen , arrive , etc. at a particular time :"
during,preposition,a1,We slaughtered them during the night.,from the beginning to the end of a particular period :
dust,noun,b1,Dust.,"dry dirt in the form of powder that covers surfaces inside a building , or very small dry pieces of soil , sand , or other substances :"
duty,noun,b1,And they were each assigned very hazardous duties. | Duty calls.,"something that you have to do because it is part of your job , or something that you feel is the right thing to do:"
DVD,noun,a1,DVD Subtitles by European Captioning Institute,"abbreviation for digital versatile disc or digital video disc : a disc used for storing and playing music , films , or information :"
each,determiner,a1,You two know each other?,"every thing, person , etc. in a group of two or more, considered separately :"
ear,noun,a1,My ear! | I'm all ears.,"either of the two organs , one on each side of the head , by which people or animals hear sounds , or the piece of skin and tissue outside the head connected to this organ :"
early,adjective,a1,You're early.,"near the beginning of a period of time , or before the usual , expected , or planned time :"
earn,verb,a2,How much do you earn?,to receive money as payment for work that you do:
earth,noun,a2,Earth.,"the planet third in order of distance from the sun , between Venus and Mars ; the world on which we live :"
earthquake,noun,b1,Earthquake!,"a sudden violent movement of the earth's surface , sometimes causing great damage :"
easily,adverb,a2,Easily.,with no difficulty or effort :
east,adjective,a1,East.,"the direction from which the sun rises in the morning , opposite to the west , or the part of an area or country that is in this direction :"
eastern,adjective,b1,It is not the eastern shore that worries me.,in or from the east part of an area :
easy,adjective,a1,Take it easy.,needing little effort :
eat,verb,a1,Eat. | What does it eats?,"to put or take food into the mouth , chew it (= crush it with the teeth ) , and swallow it: | a small amount of food :"
economic,adjective,b1,One step closer to economic equilibrium.,"relating to trade , industry , or money :"
economy,noun,b1,Economy.,the system of trade and industry by which the wealth of a country is made and used:
edge,noun,b1,The quest stands upon the edge of a knife.,the outer or furthest point of something:
edition,noun,b2,It's a first edition.,"a particular form in which a book , magazine , or newspaper is published :"
editor,noun,b1,Editor,"a person who corrects or changes pieces of text or films before they are printed or shown , or a person who is in charge of a newspaper or magazine :"
educated,adjective,b1,Educated guess.,having learned a lot at school or university and having a good level of knowledge :
education,noun,a2,Education.,"the process of teaching or learning , especially in a school or college , or the knowledge that you get from this:"
effect,noun,a2,No effect. | Any side effects?,"the result of a particular influence : | lighting , sounds , and objects that are specially produced for the stage or a film and are intended to make something that does not exist seem real :"
effective,adjective,b1,Effective immediately.,successful or achieving the results that you want :
efficient,adjective,b2,Very efficient.,working or operating quickly and effectively in an organized way:
effort,noun,b1,Efforts must be doubled. | Make an effort.,physical or mental activity needed to achieve something:
egg,noun,a1,Eggs. | An egg.,"the oval object with a hard shell that is produced by female birds , especially chickens , sometimes eaten as food :"
eight,number,a1,Eight.,the number 8:
eighteen,number,a1,Eighteen.,the number 18:
eighty,number,a1,Eighty.,the number 80:
either,adverb,a2,Me either.,"used in negative sentences instead of ""also"" or ""too"":"
elderly,adjective,b2,Elderly chap.,polite word for old :
election,noun,b1,It's an election year. | Elections?,a time when people vote in order to choose someone for a political or official job :
electric,adjective,a2,It's electric.,using electricity for power :
electrical,adjective,a2,Electrical?,relating to electricity :
electricity,noun,a2,Electricity.,"a form of energy that can be produced in several ways and that provides power to devices that create light , heat , etc.:"
electronic,adjective,a2,100 electronic.,"( especially of equipment ), using, based on, or used in a system of operation that involves the control of electric current by various devices :"
element,noun,b1,"Only the Avatar, master of all four elements, could stop them. | The fifth element.","the weather , usually bad weather : | a part of something:"
elephant,noun,a1,Elephants? | Elephant.,a very large grey mammal that has a trunk (= long nose ) with which it can pick things up
eleven,number,a1,Eleven.,the number 11:
else,adverb,a1,What else?,"used after words beginning with any- , every- , no- , and some- , or after how , what , where , who , why , but not which , to mean 'other', 'another', 'different', ' extra ':"
elsewhere,adverb,b2,Elsewhere.,"at, in, from, or to another place or other places ; anywhere or somewhere else :"
embarrassed,adjective,b1,I'm embarrassed.,feeling ashamed or shy :
embarrassing,adjective,b1,It's embarrassing.,making you feel embarrassed :
emergency,noun,b1,It's an emergency.,"something dangerous or serious , such as an accident , that happens suddenly or unexpectedly and needs fast action in order to avoid harmful results :"
emotion,noun,b1,Emotion. | Emotions.,"a strong feeling such as love or anger , or strong feelings in general :"
emotional,adjective,b2,Emotional.,relating to the emotions :
employ,verb,a2,"Jack will be free, a privateer in the employ of England.",to have someone work or do a job for you and pay them for it:
employee,noun,a2,I'm an employee.,someone who is paid to work for someone else :
employer,noun,a2,Who is your employer?,a person or organization that employs people :
employment,noun,b1,"He had a good employment record, good references.",the fact of someone being paid to work for a company or organization :
empty,adjective,a2,It's empty.,not containing any things or people :
encounter,noun,b2,Unless your people get off their encounter-suited butts and do something...,"a meeting , especially one that happens by chance :"
encourage,verb,b1,Don't encourage him.,"to make someone more likely to do something, or to make something more likely to happen :"
end,noun,a1,Ends | End of story.,the part of a place or thing that is furthest away from the centre :
ending,noun,a2,Our time here is ending.,the last part of a story :
enemy,noun,b1,The enemy! | Enemies?,a person who hates or opposes another person and tries to harm them or stop them from doing something:
energy,noun,a2,Energy.,the power and ability to be physically and mentally active :
engage,verb,b2,Engage.,to employ someone:
engaged,adjective,b1,I'm engaged.,having formally agreed to marry :
engine,noun,a2,Engine Starts,a machine that uses the energy from liquid fuel or steam to produce movement :
engineer,noun,a2,I'm an engineer. | Planet engineers.,"a person whose job is to design or build machines , engines , or electrical equipment , or things such as roads , railways , or bridges , using scientific principles :"
engineering,noun,b1,Engineering.,"the work of an engineer (= a person who designs or builds machines , engines , electrical systems , or large structures such as roads or bridges using scientific principles ) , or the study of this work :"
enjoy,verb,a1,Enjoy.,to get pleasure from something:
enormous,adjective,a2,It's enormous.,extremely large :
enough,adverb,a1,That's enough.,as much as is necessary ; in the amount or to the degree needed :
ensure,verb,b2,It will ensure our survival.,to make something certain to happen :
enter,verb,a2,Enter. | Who enters my domain?,to come or go into a particular place :
entertain,verb,b1,Let me entertain you,to keep a group of people interested or enjoying themselves:
entertainment,noun,b1,Local Entertainment Of Japan,"shows , films , television , or other performances or activities that entertain people , or a performance of this type :"
enthusiasm,noun,b2,She shares my enthusiasm for justice.,a feeling of energetic interest in a particular subject or activity and an eagerness to be involved in it:
entire,adjective,b2,Why don't you eliminate the entire Narn Homeworld?,"whole or complete , with nothing missing :"
entirely,adverb,b2,Not entirely.,completely :
entrance,noun,b1,Where's the entrance?,"a door , gate , etc. by which you can enter a building or place :"
entry,noun,b1,No sign of forced entry.,the act of entering a place or joining a particular society or organization :
environment,noun,a2,The environment is stable.,"the air , water , and land in or on which people , animals , and plants live :"
environmental,adjective,b1,We are in a spiral of environmental decline.,relating to the environment :
episode,noun,b1,Please do NOT hardsub andor stream this episode using our English subtitles.,a single event or group of related events :
equal,adjective,b1,No man can be my equal | Meth equals death!,"the same in amount , number , or size :"
equally,adverb,b1,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders.",fairly and in the same way:
equipment,noun,a2,Equipment?,"the set of necessary tools , clothing , etc. for a particular purpose :"
error,noun,a2,Error.,a mistake :
escape,verb,b1,Escape?,"to get free from something such as a prison or cage , or from someone who will not allow you to leave :"
especially,adverb,a2,Especially you.,very much; more than usual or more than other people or things:
essay,noun,a2,Since Professor Snape set the essay.,"a short piece of writing on a particular subject , especially one done by students as part of the work for a course :"
essential,adjective,b1,It's essential.,necessary or needed :
establish,verb,b2,Establish dominance!,to start a company or organization that will continue for a long time :
estate,noun,b2,Real estate.,a large area of land in the country that is owned by a family or an organization and is often used for growing crops or raising animals :
estimate,noun,b2,What's the estimate?,"to guess or calculate the cost , size , value , etc. of something:"
euro,noun,a1,100 euros.,the unit of money used in most European Union countries :
even,adjective,b2,Don't even think about it.,"used to show that something is surprising , unusual , unexpected , or extreme :"
evening,noun,a1,Good evening. | I'm usually at home in the evenings.,the part of the day between the end of the afternoon and night : | in the evening :
event,noun,a1,"In any event, | What about all that talk about screwing up future events?","anything that happens , especially something important or unusual :"
eventually,adverb,b1,Eventually.,"in the end, especially after a long time or a lot of effort , problems , etc.:"
ever,adverb,a1,Ever.,at any time :
every,determiner,a1,Every day.,used when referring to all the members of a group of three or more:
everybody,pronoun,a1,Where is everybody?,→ everyone
everyday,adjective,a2,Everyday.,"ordinary , typical , or usual :"
everyone,pronoun,a1,Everyone.,every person :
everything,pronoun,a1,Everything.,all things:
everywhere,adverb,a2,Everywhere.,"to, at, or in all places or the whole of a place :"
evidence,noun,a2,Evidence.,"facts , information , documents , etc. that give reason to believe that something is true :"
evil,adjective,b2,Evil.,"morally bad , cruel , or very unpleasant :"
exact,adjective,a2,Exact.,"in great detail , or complete , correct , or true in every way:"
exactly,adverb,a2,Exactly.,used when you are giving or asking for information that is completely correct :
exam,noun,a1,"By 1966, right about the time Tommy was getting ready to take his exams it was lovely Raquel. | Exam 2.",a test of a student's knowledge or skill in a particular subject :
examination,noun,b2,Examination?,the act of looking at or considering something carefully in order to discover something:
examine,verb,b1,Cross-examine.,to look at or consider a person or thing carefully and in detail in order to discover something about them:
example,noun,a1,For example...,something that is typical of the group of things that it is a member of:
excellent,adjective,a2,Excellent.,extremely good:
except,conjunction,b1,Except...,not including ; but not:
exchange,noun,b1,In exchange for what?,the act of giving something to someone and them giving you something else :
excited,adjective,a1,I'm so excited.,feeling very happy and enthusiastic :
excitement,noun,b1,What's all the excitement?,"a feeling of being excited , or an exciting event :"
exciting,adjective,a1,How exciting.,making you feel excited :
excuse,noun,b2,Excuse me.,to forgive someone or something:
executive,noun,b2,Executive Producers Nobuyuki Okude Kenji Yokoyama Tatsuya Yoshida Planning Transformer Station Takayuki Nakano Makoto Fujita Kouzin Ohno Hidehito Kaizuka,"someone in a high position , especially in business , who makes decisions and puts them into action :"
exercise,noun,a1,Exercise.,physical activity that you do to make your body strong and healthy :
exhibition,noun,b1,An exhibition?,"an event at which objects such as paintings are shown to the public , or the act of showing these things:"
exist,verb,a2,It doesn't exist. | It exists.,"to be, or to be real :"
existence,noun,b2,Erased from existence.,the fact of something or someone existing :
expand,verb,b1,We gotta expand.,"to increase in size , number , or importance , or to make something increase in this way:"
expect,verb,a2,It's exactly what he expects. | What do you expect?,"to think or believe something will happen , or someone will arrive :"
expectation,noun,b2,Expectations.,the feeling that good things are going to happen in the future :
expected,adjective,b1,As well as can be expected.,believed to be going to happen or arrive :
expedition,noun,b1,"Sir, this is something of an expedition.",an organized journey for a particular purpose :
expense,noun,b2,Spared no expense.,"the use of money , time , or effort :"
expensive,adjective,a1,It's expensive.,costing a lot of money :
experience,noun,a2,Experience.,"(the process of getting) knowledge or skill from doing, seeing , or feeling things:"
experienced,adjective,b1,one a highly experienced field officer.,having skill or knowledge because you have done something many times :
experiment,verb,b1,Experiments? | It's an experiment.,a test done in order to learn something or to discover if something works or is true :
expert,adjective,a2,They're experts. | You're the expert.,a person with a high level of knowledge or skill relating to a particular subject or activity :
explain,verb,a1,That explains it. | Let me explain.,to make something clear or easy to understand by describing or giving information about it:
explanation,noun,a2,I want an explanation.,the details or reasons that someone gives to make something clear or easy to understand :
explode,verb,b1,Explode!,"to break up into pieces violently , or to cause something to do this:"
explore,verb,b1,"to explore strange new worlds, to seek out new life and new civilizations, to boldly go where no one has gone before.",to search a place and discover things about it:
explosion,noun,b1,Explosion,the fact of something such as a bomb exploding :
expose,verb,b2,I'll expose you.,to remove what is covering something so that it can be seen :
express,verb,a2,Express yourself,"to show a feeling , opinion , or fact :"
expression,noun,a2,It's an expression.,the act of saying what you think or showing how you feel using words or actions :
extend,verb,b2,Extend your arms.,to add to something in order to make it bigger or longer :
extent,noun,b2,To some extent.,area or length ; amount :
extra,adjective,a1,Extra!,added to what is normal :
extraordinary,adjective,b2,Extraordinary.,"very unusual , special , unexpected , or strange :"
extreme,adjective,a2,Use extreme caution.,very large in amount or degree :
extremely,adverb,a2,Extremely.,very:
eye,noun,a1,Keep an eye on him.,one of the two organs in your face that are used for seeing :
face,noun,a1,What happened to your face?,"the front of the head , where the eyes , nose , and mouth are:"
facility,noun,b2,"My facilities are at your... | Lord Vader, we only use this facility for carbon freezing.","the buildings , equipment , and services provided for a particular purpose : | a place , especially including buildings , where a particular activity happens :"
fact,noun,a1,Is that a fact? | Just the facts.,"something that is known to have happened or to exist , especially something for which proof exists , or about which there is information :"
factor,noun,a2,"If I'm curt with you, it's because time is a factor.",a fact or situation that influences the result of something:
factory,noun,a2,The roof of the license-plate factory needs resurfacing. | Patrol machines built in automated factories.,a building or set of buildings where large amounts of goods are made using machines :
fail,verb,a2,It never fails. | Without fail.,to not succeed in what you are trying to achieve or are expected to do:
failure,noun,b2,I'm a failure.,the fact of someone or something not succeeding :
fair,adjective,a2,Fair enough.,"treating someone in a way that is right or reasonable , or treating a group of people equally and not allowing personal opinions to influence your judgment :"
fairly,adverb,b1,Fairly.,"more than average , but less than very:"
faith,noun,b2,Faith.,great trust or confidence in something or someone:
fall,noun,a2,Fall back! | Niagara Falls.,"to suddenly go down onto the ground or towards the ground without intending to or by accident : | often used in place names to mean a very wide waterfall , often made of many separate waterfalls :"
false,adjective,a1,False alarm.,"not real , but made to look or seem real :"
familiar,adjective,b1,You look familiar.,"easy to recognize because of being seen , met , heard , etc. before:"
family,adjective,a1,Families. | Family?,"a group of people who are related to each other, such as a mother , a father , and their children :"
famous,adjective,a1,You're famous.,known and recognized by many people :
fan,noun,a2,I'm a big fan. | We're big fans.,"someone who admires and supports a person , sport , sports team , etc.:"
fancy,verb,b1,Fancy that.,to want to have or do something:
fantastic,adjective,a1,Fantastic.,extremely good:
far,adjective,b1,So far.,"at, to, or from a great distance in space or time :"
farm,noun,a1,These are called farms. | A farm?,"an area of land , together with a house and buildings , used for growing crops and/or keeping animals as a business :"
farmer,noun,a1,Farmers. | I'm a farmer.,someone who owns or takes care of a farm :
fascinating,adjective,b1,Fascinating.,extremely interesting :
fashion,noun,a2,After a fashion.,"a style that is popular at a particular time , especially in clothes , hair , make-up , etc.:"
fast,adjective,a1,Not so fast.,"moving or happening quickly , or able to move or happen quickly :"
fat,noun,a2,Fat chance.,having a lot of flesh on the body :
father,noun,a1,Father! | His spirit will find its way to the halls of your fathers.,a male parent :
fault,noun,b2,It's not your fault.,"a mistake , especially something for which you are to blame :"
favour,noun,b1,Do me a favour.,the support or approval of something or someone:
favourite,adjective,a1,My favourite.,best liked or most enjoyed :
fear,noun,a2,He fears what you may become. | Fear.,"an unpleasant emotion or thought that you have when you are frightened or worried by something dangerous , painful , or bad that is happening or might happen :"
feather,noun,b2,Their feathers are just too bright. | Light as a feather.,"one of the many soft , light things that cover a bird's body , consisting of a long , thin , central part with material like hairs along each side :"
feature,noun,a2,Double feature,a typical quality or an important part of something:
February,noun,a1,February.,"the second month of the year , after January and before March :"
fee,noun,b2,Fee.,an amount of money paid for a particular piece of work or for a particular right or service :
feed,verb,a2,Where are the feeds? | Feed me.,"to give food to a person , group , or animal :"
feel,noun,b2,How do you feel? | It feels good.,to experience something physical or emotional :
feeling,noun,a1,How are you feeling? | No hard feelings.,"the fact of feeling something physical : | emotions , especially those influenced by other people :"
fellow,adjective,b2,"Come on, fellows. | For he's a jolly good fellow","used to refer to someone who has the same job or interests as you, or is in the same situation as you:"
female,adjective,a2,Female.,belonging or relating to women or girls :
fence,noun,b1,Fence.,"a structure that divides two areas of land , similar to a wall but made of wood or wire and supported with posts"
festival,noun,a1,It's a festival.,"a special day or period , usually in memory of a religious event , with its own social activities , food , or ceremonies :"
few,adjective,a1,A few.,"some, or a small number of something:"
fiction,noun,a2,Fiction.,the type of book or story that is written about imaginary characters and events and not based on real people and facts :
field,noun,a2,"In the field. | The woods, the fields.","an area of land , used for growing crops or keeping animals , usually surrounded by a fence :"
fifteen,number,a1,Fifteen.,the number 15:
fifth,ordinal number,a1,Fifth.,5th written as a word:
fifty,number,a1,Fifty.,the number 50:
fight,noun,a2,Fight! | No fights.,to use physical force to try to defeat another person or group of people :
fighting,noun,b1,Stop fighting!,"the act of people fighting, especially in a war :"
figure,noun,a2,Go figure.,the symbol for a number or an amount expressed in numbers :
file,noun,b1,Single file.,"any of several different types of container used to store papers , letters , and other documents in an ordered way, especially in an office :"
fill,verb,a1,Laughter fills the air | Fill it up.,to make or become full ; to use empty space :
film,noun,a1,What film? | Films?,"a series of moving pictures , usually shown in a cinema or on television and often telling a story :"
final,noun,a2,"Finals. | Space, the final frontier.",the last set of games in a competition : | last:
finally,adverb,a2,Finally.,after a long time or some difficulty :
finance,noun,b2,What school of finance did you study?,(the management of) a supply of money :
financial,adjective,b1,I'm a convicted murderer who provides sound financial planning.,relating to money or how money is managed :
find,verb,a1,I will be hoping that this letter finds you and finds you well. | How did you find me?,"to discover , especially where a thing or person is, either unexpectedly or by searching , or to discover where to get or how to achieve something:"
finding,noun,b2,Finding release,"a piece of information that is discovered during an official examination of a problem , situation , or object :"
fine,adjective,a1,Fine.,good or good enough; healthy and well:
finger,noun,a2,Pull my finger. | Watch your fingers.,"any of the long , thin , separate parts of the hand , especially those that are not thumbs :"
finish,noun,a2,Let me finish.,to complete something or come to the end of an activity :
fire,noun,a1,Fire!,"the state of burning that produces flames that send out heat and light , and might produce smoke :"
firm,noun,b2,Stand firm!,not soft but not completely hard:
first,ordinal number,a1,You first.,"(a person or thing) coming before all others in order , time , amount , quality , or importance :"
fish,noun,a1,Fish.,"an animal that lives in water , is covered with scales , and breathes by taking water in through its mouth , or the flesh of these animals eaten as food :"
fishing,noun,a2,Fishing?,the sport or job of catching fish :
fit,adjective,a2,It doesn't fit. | It fits.,to be the right size or shape to go into a particular space :
five,number,a1,Five.,the number 5:
fix,noun,b2,I'll fix it.,to repair something:
fixed,adjective,b1,I fixed it.,arranged or decided already and not able to be changed :
flag,noun,b1,Flags! | The flag is up.,"a piece of cloth , usually rectangular and attached to a pole at one edge , that has a pattern that shows it represents a country or a group , or has a particular meaning :"
flame,noun,b2,Flame on!,"a stream of hot , burning gas from something on fire :"
flash,noun,b2,Flash!,"to shine brightly and suddenly , or to make something shine in this way:"
flat,adjective,a2,Flat.,"level and smooth , with no curved , high, or hollow parts :"
flight,noun,a1,"Flights, trains, police reports. | How was your flight?",a journey in an aircraft :
float,verb,b2,They float.,to stay on the surface of a liquid and not sink :
flood,noun,b1,The flood.,"to cause to fill or become covered with water , especially in a way that causes problems :"
floor,noun,a1,On the floor. | Looks like clowns and hostages on two floors.,the flat surface of a room on which you walk :
flour,noun,b1,Flour.,"powder made from grain , especially wheat , used for making bread , cakes , pasta , pastry , etc.:"
flow,noun,b1,The same blood flows in my veins. | Go with the flow.,"( especially of liquids , gases , or electricity ) to move in one direction , especially continuously and easily :"
flower,noun,a1,Flowers? | Flower.,"the part of a plant that is often brightly coloured and has a pleasant smell , or the type of plant that produces these:"
flu,noun,a2,Flu.,a common infectious illness that causes fever and headache :
fly,noun,a2,Time flies. | Fly!,"plural of fly | When a bird , insect , or aircraft flies, it moves through the air :"
flying,adjective,a2,I'm flying!,travel by air :
focus,noun,a2,Focus.,"the main or central point of something, especially of attention or interest :"
fold,noun,b2,Fold.,"to bend something, especially paper or cloth , so that one part of it lies on the other part , or to be able to be bent in this way:"
folk,adjective,b1,"There's talk of strange folk abroad. | All right, folks.","people , especially those of a particular group or type : | used when speaking informally to a group of people :"
follow,verb,a1,Follow me. | Everything that follows is a result of what you see here.,"to move behind someone or something and go where he, she, or it goes:"
following,noun,b1,Why are you following me?,after:
food,noun,a1,From General Foods. | Food.,"something that people and animals eat , or plants absorb , to keep them alive :"
foot,noun,a1,My foot!,the part of the body at the bottom of the leg on which a person or animal stands :
football,noun,a1,Football.,"a game played between two teams of eleven people , where each team tries to win by kicking a ball into the other team's goal :"
for,preposition,a1,What for?,intended to be given to:
force,noun,b1,Force of habit.,"physical , especially violent , strength or power :"
foreign,adjective,a2,Foreign contaminant.,belonging or connected to a country that is not your own:
forest,noun,a2,Darkness crept back into the forests of the world. | In the forest.,"a large area of land covered with trees and plants , usually larger than a wood , or the trees and plants themselves:"
forever,adverb,b1,Forever.,for all time :
forget,verb,a1,He forgets himself with his people. | Forget it.,"to be unable to remember a fact , something that happened , or how to do something:"
forgive,verb,b2,Forgive me.,"to stop blaming or being angry with someone for something that person has done, or not punish them for something:"
fork,noun,a2,Fork.,"a small object with three or four points and a handle , that you use to pick up food and eat with:"
form,noun,a1,"Form up! | Now I'm lost in some distant part of the universe on a ship, a living ship, full of strange alien life-forms.",to begin to exist or to make something begin to exist :
formal,adjective,a2,Don't be so formal.,public or official :
former,adjective,b2,Sauron has regained much of his former strength.,of or in an earlier time ; before the present time or in the past:
fortunately,adverb,a2,Fortunately.,happening because of good luck :
fortune,noun,b2,A fortune.,"a large amount of money , goods , property , etc.:"
forty,number,a1,Forty.,the number 40:
forward,adjective,b2,Forward!,towards the direction that is in front of you:
found,verb,b2,I found it.,past simple and past participle of find
four,number,a1,Four.,the number 4:
fourteen,number,a1,Fourteen.,the number 14:
fourth,ordinal number,a1,Fourth floor.,4th written as a word:
frame,noun,b1,Frame.,"a border that surrounds and supports a picture , door , or window :"
free,verb,b2,You're free.,not limited or controlled :
freedom,noun,b2,Freedom!,"the condition or right of being able or allowed to do, say, think , etc. whatever you want to, without being controlled or limited :"
freeze,verb,b1,Freeze!,"If you freeze something, you lower its temperature below 0°C, causing it to become cold and often hard, and if something freezes, its temperature goes below 0°C:"
frequency,noun,b2,What's the frequency?,"the number of times something happens within a particular period , or the fact of something happening often or a large number or times :"
frequently,adverb,b1,Frequently.,often:
fresh,adjective,a2,Fresh.,new or different:
Friday,noun,a1,Friday.,the day of the week after Thursday and before Saturday :
fridge,noun,a2,In the fridge.,a piece of kitchen equipment that uses electricity to preserve food at a cold temperature :
friend,noun,a1,A friend. | Friends?,"a person who you know well and who you like a lot, but who is usually not a member of your family :"
friendly,adjective,a1,Friendly.,"behaving in a pleasant , kind way towards someone:"
friendship,noun,b1,Friendship.,a situation in which two people are friends :
frighten,verb,b1,I didn't mean to frighten you.,to make someone feel fear :
frightened,adjective,b1,Don't be frightened.,feeling fear or worry :
frightening,adjective,b1,It's frightening.,making you feel fear :
frog,noun,a2,Frogs? | Frog.,"a small animal that has smooth skin , lives in water and on land , has long powerful back legs with which it jumps from place to place , has no tail , and is usually greenish-brown in colour :"
from,preposition,a1,What do you want from me?,used to show the place where someone or something starts :
front,adjective,a1,Eyes front.,"the part of a building , object , or person's body that faces forward or is most often seen or used:"
frozen,adjective,b1,Frozen.,past participle of freeze
fruit,noun,a1,Any fruits or vegetables? | Fruit.,the soft part containing seeds that is produced by a plant . Many types of fruit are sweet and can be eaten :
fry,verb,b1,French fries. | Fry?,long thin pieces of fried potato | to cook food in hot oil or fat :
fuel,noun,b1,Fuel.,"a substance that is used to provide heat or power , usually by being burned :"
full,adjective,a1,Full house.,(of a container or a space ) holding or containing as much as possible or a lot:
fully,adverb,b2,That wound will never fully heal.,completely :
fun,adjective,a2,Have fun.,"pleasure , enjoyment , or entertainment :"
function,noun,b1,"We'd have to cut his higher brain functions without disturbing the purely automatic and regulatory systems. | I'm not talking fashion, Mr. Fox, so much as function.",the natural purpose (of something) or the duty (of a person ):
fund,verb,b2,"What kind of details do you have about this communal fund? | As long as they don't get to Lau, we've cut off their funds.","an amount of money saved , collected , or provided for a particular purpose : | money needed or available to spend on something:"
funding,noun,b2,"Pressured to prove his theories or lose funding,",money given by a government or organization for an event or activity :
funny,adjective,a1,That's funny.,humorous ; causing laughter :
fur,noun,b1,Fur?,"the thick hair that covers the bodies of some animals , or the hair-covered skin(s) of animals , removed from their bodies :"
furniture,noun,a2,Furniture?,"things such as chairs , tables , beds , cupboards , etc. that are put into a house or other building to make it suitable and comfortable for living or working in:"
further,adjective,a2,No further questions.,"comparative of far : to a greater distance or degree , or at a more advanced level :"
furthermore,adverb,b2,Furthermore...,in addition ; more importantly :
future,adjective,a2,The future.,a period of time that is to come:
gas,noun,a2,Ga! | Gas.,written abbreviation for the US state of Georgia: used in addresses | a substance in a form like air that is neither solid nor liquid :
gain,noun,b2,"No pain, no gain.","to get something that is useful , that gives you an advantage , or that is in some way positive , especially over a period of time :"
gallery,noun,a2,It's a shooting gallery.,"a room or building that is used for showing works of art , sometimes so that they can be sold :"
game,noun,a1,Game over.,"an entertaining activity or sport , especially one played by children , or the equipment needed for such an activity :"
gang,noun,b2,"Hey, gang. | Syd could get it a lot cheaper from the gangs, but Syd likes to deal with Jasper.","a group of young people , especially young men, who spend time together, often fighting with other groups and behaving badly :"
gap,noun,a2,The Gap of Rohan takes us too close to Isengard!,an empty space or opening in the middle of something or between two things:
garage,noun,b1,In the garage.,"a building where a car is kept , built next to or as part of a house :"
garden,noun,a1,In the garden. | Busch Gardens?,"a piece of land next to and belonging to a house , where flowers and other plants are grown , and often containing an area of grass :"
gate,noun,a2,Open the gate!,"a part of a fence or outside wall that is fixed at one side and opens and closes like a door , usually made of metal or wooden strips"
gather,verb,b1,Gather round.,"to collect several things, often from different places or people :"
general,adjective,a2,"If the generals back in Nha Trang could see what I saw, would they still want me to kill him? | General.","involving or relating to most or all people , things, or places , especially when these are considered as a unit :"
generally,adverb,b1,Generally.,"considering the whole of someone or something, and not just a particular part of him, her, or it:"
generation,noun,b1,It's been in my family for generations. | The Next Generation.,all the people of about the same age within a society or within a particular family :
generous,adjective,b1,That's very generous.,"willing to give money , help , kindness , etc., especially more than is usual or expected :"
gentle,adjective,b1,Be gentle.,"calm , kind , or soft :"
gentleman,noun,b1,He's a gentleman.,a polite way of talking to or referring to a man:
get,verb,a1,Get out! | It gets better.,"to obtain , buy , or earn something:"
ghost,noun,b1,Ghost! | Ghosts?,"the spirit of a dead person , sometimes represented as a pale , almost transparent image of that person that some people believe appears to people who are alive :"
giant,adjective,b1,"That's one small step for man, one giant leap for mankind. | Giants!","an imaginary creature like a man but extremely tall , strong , and usually very cruel , appearing especially in children's stories"
gift,noun,a2,Gifts? | It's a gift.,a present or something that is given:
girl,noun,a1,Good girl. | Girls!,"a female child or young woman, especially one still at school : | a group of female friends :"
girlfriend,noun,a1,Girlfriend? | Girlfriends?,a woman or girl who a person is having a romantic or sexual relationship with:
give,verb,a1,Give it to me.,"to offer something to someone, or to provide someone with something:"
glad,adjective,b1,I'm glad.,pleased and happy :
glass,noun,a1,Glass.,"a hard, transparent material , used to make windows , bottles , and other objects :"
global,adjective,b1,Global warming.,relating to the whole world :
glove,noun,b1,It's in the glove compartment.,"a piece of clothing that is worn on the hand and wrist for warmth or protection , with separate parts for each finger :"
go,verb,a1,There he goes. | Let's go.,he/she/it form of go | to travel or move to another place :
goal,noun,a2,Goal! | I think we're gonna have to talk about how this might compromise our goals.,"an area on a playing field , that usually has two posts with a net fixed behind them, where players try to send the ball in order to score in sports such as football and hockey :"
god,noun,a2,"Oh, my God. | He journeyed the earth, battling the minions of his wicked stepmother, Hera, the all-powerful queen of the gods.","a spirit or being believed to control some part of the universe or life and often worshipped for doing so, or something that represents this spirit or being: | the seats in a theatre that are at the highest level and the furthest from the stage :"
gold,adjective,a2,Gold.,"a chemical element that is a valuable , shiny , yellow metal used to make coins and jewellery :"
golf,noun,a2,Golf?,"a game played outside on grass in which each player tries to hit a small ball into a series of nine or 18 small holes , using a long , thin stick :"
good,adjective,a1,hhhhhhhNISHIMOTO hhhSPORTING GOODS | Good.,"things for sale , or the things that you own: | very satisfactory , enjoyable , pleasant , or interesting :"
goodbye,exclamation,a1,Goodbye.,used when someone leaves :
