word,count,rank
late,750581,385
eat,738692,386
dr,737178,387
dear,734686,388
damn,729065,389
under,725580,390
easy,720110,391
pay,719279,392
each,717804,393
afraid,716940,394
four,716392,395
shut,715856,396
second,713284,397
kid,708747,398
cause,705144,399
having,698740,400
death,697944,401
everyone,697923,402
check,697324,403
minutes,696910,404
probably,694702,405
hit,692179,406
drink,691599,407
aren't,688204,408
thinking,687955,409
far,687839,410
shall,686410,411
somebody,677523,412
everybody,677389,413
eyes,676726,414
knows,675701,415
gave,675355,416
hands,674665,417
happen,674226,418
water,671811,419
mine,666706,420
exactly,660889,421
change,659676,422
stuff,659658,423
kids,659179,424
fire,657948,425
crazy,657924,426
part,657742,427
wish,657727,428
working,656616,429
anyway,656007,430
chance,653169,431
sleep,648938,432
captain,646526,433
where's,645176,434
taking,641606,435
phone,641103,436
hurt,639653,437
stand,638133,438
trouble,637860,439
word,637200,440
waiting,635332,441
quite,635002,442
set,634572,443
its,630669,444
rest,626378,445
half,626213,446
deal,625191,447
married,622111,448
fight,619603,449
times,619114,450
read,617225,451
number,616036,452
against,615795,453
close,615625,454
inside,615517,455
cut,613191,456
point,612432,457
comes,611938,458
means,609641,459
whatever,606258,460
makes,605089,461
asked,603670,462
lady,601710,463
em,600721,464
person,591729,465
he'll,586801,466
honey,585676,467
town,584816,468
important,584766,469
supposed,583374,470
least,582235,471
shot,582212,472
making,577871,473
hours,574485,474
ha,572526,475
week,572491,476
yours,572257,477
hmm,571971,478
hurry,570361,479
speak,570355,480
nobody,567682,481
body,566799,482
moment,562768,483
story,559860,484
side,558458,485
break,557272,486
truth,556929,487
sister,554579,488
high,551704,489
different,551586,490
game,549223,491
boys,548822,492
fun,547356,493
goes,545645,494
party,544923,495
gets,544656,496
husband,544159,497
daughter,543854,498
couple,543697,499
um,542870,500
blood,540927,501
gun,540598,502
girls,539322,503
war,539105,504
six,538659,505
office,535155,506
anymore,533281,507
along,531950,508
walk,531479,509
behind,531090,510
children,531023,511
send,527674,512
ahead,527091,513
child,525486,514
though,524811,515
lord,521872,516
reason,520300,517
almost,520280,518
able,519683,519
between,517818,520
free,517559,521
buy,517146,522
brought,514833,523
line,510992,524
either,510582,525
city,509147,526
full,506305,527
met,504945,528
bed,504518,529
question,504132,530
telling,503037,531
answer,502773,532
power,501213,533
anybody,500142,534
women,499556,535
started,499440,536
tried,498248,537
welcome,497516,538
seems,495985,539
front,495484,540
funny,494771,541
trust,492067,542
ass,491518,543
save,490958,544
hate,489001,545
pick,486890,546
died,483637,547
stupid,481433,548
alive,480169,549
it'll,478135,550
order,477812,551
jack,474778,552
hour,471665,553
hot,469990,554
clear,468701,555
light,466854,556
outside,463848,557
dog,458720,558
they'll,457789,559
news,456823,560
country,454834,561
lose,452590,562
sometimes,452579,563
fact,452183,564
john,449998,565
months,447989,566
dinner,447003,567
become,446498,568
shoot,444790,569
white,443277,570
food,441357,571
here's,441189,572
poor,439929,573
black,439445,574
alright,437636,575
perhaps,436865,576
law,436515,577
uncle,435884,578
feeling,433146,579
whoa,433081,580
shouldn't,432703,581
living,430103,582
sick,428544,583
glad,428116,584
promise,426129,585
taken,425178,586
book,424534,587
leaving,422033,588
sent,421506,589
till,418292,590
running,418261,591
master,417972,592
himself,416328,593
needs,415622,594
cool,415546,595
sort,413292,596
boss,409742,597
gentlemen,409305,598
special,408172,599
wow,408158,600
bet,407791,601
luck,407602,602
red,407392,603
touch,404984,604
cannot,403585,605
safe,402531,606
ten,400382,607
king,399422,608
cold,397537,609
drive,397198,610
small,395095,611
scared,393021,612
air,390723,613
lives,389724,614
wonderful,387447,615
fast,387111,616
daddy,386244,617
company,385069,618
plan,384434,619
how's,384254,620
bitch,383174,621
ya,382630,622
serious,381757,623
evening,381489,624
catch,381151,625
street,379816,626
control,378816,627
hang,378504,628
darling,377146,629
possible,376564,630
seem,375109,631
follow,373565,632
perfect,373560,633
mm,373239,634
human,369614,635
team,369593,636
past,368792,637
jesus,368126,638
top,367700,639
quiet,367245,640
hair,366906,641
lucky,366699,642
earth,366477,643
sounds,362717,644
dance,361242,645
sound,361064,646
murder,360848,647
others,358955,648
playing,358820,649
happens,358724,650
pull,357779,651
asking,357647,652
win,357461,653
rather,356789,654
known,356115,655
suppose,355925,656
ship,354458,657
million,354231,658
he'd,353553,659
dream,352769,660
parents,352559,661
careful,351813,662
wonder,350406,663
lie,350096,664
general,349835,665
sweet,349339,666
sign,348826,667
write,348383,668
hospital,348032,669
coffee,344312,670
words,344279,671
we'd,343590,672
return,343256,673
music,342072,674
beat,340982,675
drop,340903,676
somewhere,337080,677
sense,336820,678
ladies,335823,679
goodbye,335610,680
they've,334417,681
straight,331710,682
longer,330673,683
meeting,330373,684
secret,329942,685
weeks,328929,686
feet,328347,687
sam,327626,688
clean,326356,689
calling,324938,690
learn,324927,691
throw,324430,692
eye,323607,693
fall,323226,694
finally,321490,695
report,320921,696
step,318896,697
explain,318088,698
weren't,318068,699
given,318057,700
picture,317898,701
worth,317895,702
piece,317873,703
seven,315961,704
ma'am,315101,705
road,314350,706
fault,313692,707
mad,313066,708
president,313060,709
quick,312391,710
looked,310476,711
less,308235,712
takes,307171,713
certainly,307067,714
moving,307035,715
none,306875,716
frank,306283,717
george,306251,718
land,306042,719
marry,305577,720
felt,305274,721
questions,304679,722
worked,304600,723
tired,304180,724
chief,302915,725
ride,302057,726
class,301783,727
changed,300722,728
seeing,299610,729
early,298576,730
officer,298452,731
strange,298024,732
court,296611,733
future,296535,734
date,296422,735
figure,296358,736
pass,296293,737
turned,295518,738
absolutely,294975,739
giving,294963,740
state,293971,741
ooh,292030,742
yesterday,291696,743
mistake,291523,744
loved,291472,745
wake,291155,746
act,290572,747
joe,289655,748
forgive,289434,749
expect,289068,750
calm,288526,751
kidding,285197,752
busy,283891,753
unless,283517,754
sex,283196,755
eh,283034,756
strong,282734,757
ones,282110,758
charlie,281917,759
kiss,281914,760
fool,281855,761
bill,281824,762
christmas,280621,763
clothes,279343,764
hotel,277075,765
mouth,277022,766
lieutenant,276796,767
eight,276526,768
worried,276044,769
choice,275302,770
caught,274936,771
except,274629,772
pain,274379,773
kept,274377,774
michael,273450,775
attack,273416,776
major,273151,777
finish,271583,778
near,271009,779
dark,270886,780
she'll,270846,781
letter,270247,782
works,268566,783
hasn't,268524,784
wear,268076,785
worse,267784,786
army,267436,787
lovely,266997,788
sell,266893,789
colonel,265903,790
station,265608,791
blue,264463,792
train,264236,793
finished,263800,794
born,263681,795
decided,263564,796
honor,262945,797
handle,262541,798
terrible,261325,799
month,260625,800
information,260023,801
ring,258848,802
ball,258670,803
security,257170,804
fair,256846,805
age,256640,806
present,256567,807
horse,256134,808
boat,255684,809
building,254770,810
meant,254673,811
wedding,254201,812
short,253642,813
missing,253568,814
lying,253111,815
forgot,253028,816
afternoon,252397,817
happening,252118,818
watching,251471,819
york,251350,820
movie,251238,821
american,250555,822
thinks,249901,823
swear,249583,824
count,248143,825
attention,248098,826
floor,247822,827
paper,247245,828
peace,247122,829
lunch,247098,830
tom,247082,831
charge,246988,832
broke,246915,833
system,246879,834
miles,246737,835
song,246636,836
join,246504,837
blow,246381,838
voice,246257,839
message,245999,840
needed,245676,841
birthday,245171,842
sing,244636,843
table,244355,844
round,244323,845
force,243989,846
dangerous,243820,847
paid,243330,848
ran,243263,849
simple,242740,850
harry,242302,851
stick,241353,852
cover,240770,853
during,240750,854
buddy,240614,855
anywhere,240480,856
bag,240470,857
forever,240330,858
lead,239800,859
gold,239309,860
imagine,238790,861
spend,238447,862
across,238374,863
instead,238030,864
middle,237246,865
talked,236705,866
bank,236581,867
completely,236476,868
marriage,236153,869
evidence,235930,870
sitting,235385,871
bought,235192,872
interesting,234750,873
box,234662,874
fly,234290,875
david,233795,876
accident,233415,877
test,232117,878
interested,232076,879
surprise,231897,880
fear,231603,881
besides,231547,882
certain,231274,883
relax,230943,884
smart,230785,885
fish,230512,886
club,230246,887
mike,229913,888
key,228850,889
enjoy,228458,890
rich,228020,891
won,228009,892
mmm,227891,893
hide,227218,894
sun,226696,895
mama,226037,896
personal,225987,897
situation,225907,898
crime,225864,899
protect,225484,900
entire,225472,901
bastard,224807,902
quickly,224778,903
tv,224417,904
trip,223594,905
stopped,223335,906
service,222797,907
tea,221991,908
fix,221813,909
